1,department,部門、売り場
2,review,検討する、論評する　名：検討、論評
3,charge,請求する　名：料金、責任
4,note,注意する、述べる　名：メモ
5,state,述べる
6,based,形：拠点のある、基づく
7,corporate,形：企業の、法人の
102,branch,支店
103,paid,形：有給の、支払い済みの
111,leading,形：首位の、一流の
113,release,発売する、公表する　名：発表
119,benefit,特典、福利厚生　動：～のためになる
127,impress,感心させる、好印象を与える
131,document,書類　動：(文書、映像等で)記録する
133,require,求める、要求する
135,packaging,梱包
136,description,説明、記述、描写
137,property,不動産、資産
141,highly,非常に
147,consider,考える、検討する
149,ship,出荷する　名：船
153,brochure,名：パンフレット
166,warehouse,倉庫
172,responsible,担当している、責任がある
175,invitation,招待(状)
180,comfortable,形：快適な、楽な、自信がある
181,correct,修正する　形：正確な、正しい
182,downtown,中心街　形：中心街の　副：中心街で
190,regarding,前：～に関する
193,admission,入場、入場料、入場許可
196,status,状況、地位
198,nearly,ほとんど、もう少しで
0,availability,都合の良い日時
205,develop,作り出す、開発する、（スキルを）高める
207,reasonable,（値段が）手ごろな、妥当な
215,direct,向ける、管理する　形：直接の
219,claim,申し立て、主張、領有権　動：主張する、所有権を主張する
222,figure,数字、人物
239,specific,形：具体的な、特定の
253,maintain,維持する、主張する
255,organize,（イベントなどを）計画する、取りまとめる、組織化する
257,occasion,特別な行事、時、好機
270,operate,操作する、運営する
276,basis,ベース、基準、根拠
280,honor,称える、（契約等を）守る　名：名誉
281,properly,副：ちゃんと、適切に
287,duty,義務、職務、関税
297,regularly,副：定期的に
299,shortly,副：じきに、まもなく
303,content,内容、中身　形：満足している
306,recognize,認める、称える、識別する
307,represent,代表を務める、表す
308,transfer,移動させる（する）　名：移動
311,capacity,能力、役割
312,destination,目的地
313,grant,補助金　動：与える、許可する
324,praise,ほめる　名：称賛
331,assure,保証する、請け負う
344,favorable,形：好意的な、有利な
350,shuttle,定期往復便
356,saving,値引き、貯蓄、節約
358,locate,見つける
361,prove,わかる、判明する、証明する
363,gain,得る　名：増加、利益
364,labor,労働、労働者
365,regard,見なす、評価する　名：点
369,loyal,形：忠実な
371,stress,強調する　名：ストレス、強調
373,commission,委託する、委任する　名：委員会、歩合
374,committed,形：熱心に取り組む、献身的な
380,flyer,チラシ、（飛行機の）乗客
381,proceed,進む
385,connection,つながり、関連、乗り継ぎ
392,contrast,対照、はっきりした違い　動：対称的である
395,practical,形：実際の、実用的な
0,care about,～に関心がある